v0,N,dpsi_deg,vstar
250,18,178,261.8
250,18,180,260.7
250,20,0,283.7
250,20,2,281.2
250,20,4,283.7
250,20,6,282.1
250,20,8,282.1
250,20,10,281.2
250,20,12,283.7
250,20,14,283.7
250,20,16,283.7
250,20,18,282.1
250,20,20,282.1
250,20,22,282.1
250,20,24,283.7
250,20,26,283.7
250,20,28,283.7
250,20,30,282.1
250,20,32,282.1
250,20,34,282.1
250,20,36,281.2
250,20,38,283.7
250,20,40,283.7
250,20,42,282.1
250,20,44,282.1
250,20,46,282.1
250,20,48,283.7
250,20,50,281.2
250,20,52,280.5
250,20,54,283.7
250,20,56,282.1
250,20,58,280.7
250,20,60,281.1
250,20,62,281.1
250,20,64,281.2
250,20,66,283.7
250,20,68,281.2
250,20,70,280.6
250,20,72,281.1
250,20,74,279.6
250,20,76,278.0
250,20,78,279.5
250,20,80,279.3
250,20,82,282.1
250,20,84,278.3
250,20,86,280.7
250,20,88,283.7
250,20,90,278.6
250,20,92,283.7
250,20,94,279.6
250,20,96,275.4
250,20,98,280.7
250,20,100,281.0
250,20,102,276.7
250,20,104,279.0
250,20,106,279.3
250,20,108,280.6
250,20,110,278.7
250,20,112,280.9
250,20,114,281.2
250,20,116,276.9
250,20,118,279.1
250,20,120,279.5
250,20,122,277.7
250,20,124,280.7
250,20,126,277.8
250,20,128,276.1
250,20,130,277.1
250,20,132,276.1
250,20,134,278.3
250,20,136,278.6
250,20,138,280.8
250,20,140,272.7
250,20,142,276.9
250,20,144,275.8
250,20,146,276.3
250,20,148,278.4
250,20,150,273.4
250,20,152,272.4
250,20,154,273.4
250,20,156,275.0
250,20,158,276.1
250,20,160,271.1
250,20,162,270.0
250,20,164,271.1
250,20,166,272.6
250,20,168,273.6
250,20,170,268.8
250,20,172,267.7
250,20,174,269.1
250,20,176,270.2
250,20,178,271.3
250,20,180,266.6
250,22,0,286.9
250,22,2,286.9
250,22,4,286.9
250,22,6,285.3
250,22,8,286.9
250,22,10,285.3
250,22,12,286.9
250,22,14,286.9
250,22,16,286.9
250,22,18,285.3
250,22,20,285.3
250,22,22,285.3
250,22,24,286.9
250,22,26,286.9
250,22,28,286.9
250,22,30,285.3
250,22,32,285.3
250,22,34,285.3
250,22,36,286.9
250,22,38,286.9
250,22,40,286.9
250,22,42,285.3
250,22,44,285.3
250,22,46,285.3
250,22,48,286.9
250,22,50,286.9
250,22,52,284.4
250,22,54,286.9
250,22,56,285.3
250,22,58,283.9
250,22,60,286.9
250,22,62,284.4
250,22,64,284.4
250,22,66,286.9
250,22,68,284.4
250,22,70,285.3
250,22,72,285.3
250,22,74,284.4
250,22,76,286.9
250,22,78,283.7
250,22,80,286.9
250,22,82,285.3
250,22,84,282.1
250,22,86,285.3
250,22,88,286.9
250,22,90,281.0
250,22,92,283.7
250,22,94,285.3
250,22,96,284.0
250,22,98,283.8
250,22,100,286.9
250,22,102,284.4
250,22,104,281.2
250,22,106,284.4
250,22,108,283.7
250,22,110,284.3
250,22,112,283.9
250,22,114,284.2
250,22,116,281.0
250,22,118,282.3
250,22,120,283.7
250,22,122,281.0
250,22,124,282.0
250,22,126,279.6
250,22,128,279.9
250,22,130,282.2
250,22,132,276.2
250,22,134,281.5
250,22,136,283.7
250,22,138,284.0
250,22,140,279.7
250,22,142,280.2
250,22,144,282.4
250,22,146,281.3
250,22,148,281.6
250,22,150,284.0
250,22,152,277.7
250,22,154,280.0
250,22,156,278.9
250,22,158,279.3
250,22,160,281.5
250,22,162,276.4
250,22,164,277.5
250,22,166,276.5
250,22,168,278.0
250,22,170,279.0
250,22,172,274.1
250,22,174,273.0
250,22,176,273.5
250,22,178,275.5
250,22,180,276.7
250,24,0,290.0
250,24,2,290.0
250,24,4,290.0
250,24,6,288.4
250,24,8,290.0
250,24,10,290.0
250,24,12,290.0
250,24,14,290.0
250,24,16,290.0
250,24,18,288.4
250,24,20,290.0
250,24,22,290.0
250,24,24,290.0
250,24,26,290.0
250,24,28,290.0
250,24,30,288.4
250,24,32,288.4
250,24,34,290.0
250,24,36,290.0
250,24,38,290.0
250,24,40,290.0
250,24,42,290.0
250,24,44,288.4
250,24,46,288.4
250,24,48,290.0
250,24,50,290.0
250,24,52,290.0
250,24,54,290.0
250,24,56,288.4
250,24,58,288.4
250,24,60,290.0
250,24,62,290.0
250,24,64,290.0
250,24,66,290.0
250,24,68,287.2
250,24,70,288.4
250,24,72,290.0
250,24,74,290.0
250,24,76,290.0
250,24,78,290.0
250,24,80,290.0
250,24,82,288.4
250,24,84,288.4
250,24,86,288.4
250,24,88,290.0
250,24,90,287.6
250,24,92,286.9
250,24,94,288.4
250,24,96,287.1
250,24,98,285.3
250,24,100,290.0
250,24,102,287.4
250,24,104,284.3
250,24,106,288.4
250,24,108,287.1
250,24,110,287.5
250,24,112,290.0
250,24,114,285.3
250,24,116,285.9
250,24,118,287.6
250,24,120,283.7
250,24,122,287.5
250,24,124,286.9
250,24,126,287.1
250,24,128,284.0
250,24,130,285.3
250,24,132,285.6
250,24,134,284.5
250,24,136,286.9
250,24,138,287.1
250,24,140,282.9
250,24,142,285.3
250,24,144,285.6
250,24,146,284.5
250,24,148,286.9
250,24,150,284.0
250,24,152,282.8
250,24,154,280.0
250,24,156,282.1
250,24,158,284.4
250,24,160,284.6
250,24,162,280.4
250,24,164,280.8
250,24,166,283.0
250,24,168,282.0
250,24,170,282.2
250,24,172,284.6
250,24,174,279.5
250,24,176,280.6
250,24,178,282.2
250,24,180,281.2
250,26,0,293.1
250,26,2,293.1
250,26,4,291.5
250,26,6,291.5
250,26,8,293.1
250,26,10,293.1
